"","From","To","matrixAll.freq"
"1","Afr","Afr","56"
"2","Afr","Aus","12"
"3","Afr","Ind","13"
"4","Afr","Mad","5"
"5","Afr","Nea","31"
"6","Afr","Neo","15"
"7","Afr","Oce","20"
"8","Afr","Pal","70"
"9","Aus","Afr","2"
"10","Aus","Aus","80"
"11","Aus","Ind","8"
"12","Aus","Nea","2"
"13","Aus","Neo","3"
"14","Aus","Oce","3"
"15","Aus","Pal","6"
"16","Ind","Afr","22"
"17","Ind","Aus","20"
"18","Ind","Ind","85"
"19","Ind","Mad","4"
"20","Ind","Nea","15"
"21","Ind","Neo","8"
"22","Ind","Oce","21"
"23","Ind","Pal","66"
"24","Mad","Afr","5"
"25","Mad","Aus","1"
"26","Mad","Ind","1"
"27","Mad","Mad","4"
"28","Mad","Nea","1"
"29","Mad","Neo","2"
"30","Mad","Oce","3"
"31","Mad","Pal","1"
"32","Nea","Afr","5"
"33","Nea","Aus","7"
"34","Nea","Ind","6"
"35","Nea","Mad","2"
"36","Nea","Nea","154"
"37","Nea","Neo","32"
"38","Nea","Oce","9"
"39","Nea","Pal","29"
"40","Neo","Afr","5"
"41","Neo","Aus","2"
"42","Neo","Ind","3"
"43","Neo","Nea","15"
"44","Neo","Neo","65"
"45","Neo","Oce","14"
"46","Neo","Pal","11"
"47","Oce","Aus","2"
"48","Pal","Afr","6"
"49","Pal","Aus","15"
"50","Pal","Ind","6"
"51","Pal","Mad","1"
"52","Pal","Nea","14"
"53","Pal","Neo","7"
"54","Pal","Oce","4"
"55","Pal","Pal","100"
