id_no;binomial;class;order_;WWF_REALM2
168412;Opsarius cocsa;ACTINOPTERYGII;CYPRINIFORMES;Indo-Malay
185817;Haplochromis melichrous;ACTINOPTERYGII;PERCIFORMES;Afrotropic
176159753;Chilodus zunevei;ACTINOPTERYGII;CHARACIFORMES;Neotropic
47957388;Synodontis tanganyicae;ACTINOPTERYGII;SILURIFORMES;Afrotropic
181629;Brycinus affinis;ACTINOPTERYGII;CHARACIFORMES;Afrotropic
61662705;Hyphessobrycon sebastiani;ACTINOPTERYGII;CHARACIFORMES;Neotropic
66598016;Pseudochalceus bohlkei;ACTINOPTERYGII;CHARACIFORMES;Neotropic
169538;Barbodes binotatus;ACTINOPTERYGII;CYPRINIFORMES;Indo-Malay
91005617;Leptobarbus melanotaenia;ACTINOPTERYGII;CYPRINIFORMES;Indo-Malay
167678;Cephalosilurus fowleri;ACTINOPTERYGII;SILURIFORMES;Neotropic
61192;Achondrostoma arcasii;ACTINOPTERYGII;CYPRINIFORMES;Palearctic
182813;Petrocephalus schoutedeni;ACTINOPTERYGII;OSTEOGLOSSIFORMES;Afrotropic
186932;Deuterodon pedri;ACTINOPTERYGII;CHARACIFORMES;Neotropic
183543;Eucinostomus gracilis;ACTINOPTERYGII;PERCIFORMES;Nearctic
60376;Enteromius paludinosus;ACTINOPTERYGII;CYPRINIFORMES;Afrotropic
164541116;Synbranchus lampreia;ACTINOPTERYGII;SYNBRANCHIFORMES;Neotropic
186584;Oligosarcus argenteus;ACTINOPTERYGII;CHARACIFORMES;Neotropic
192920;Vieja fenestrata;ACTINOPTERYGII;PERCIFORMES;Neotropic
202578;Percina fulvitaenia;ACTINOPTERYGII;PERCIFORMES;Nearctic
202651;Cottus baileyi;ACTINOPTERYGII;SCORPAENIFORMES;Nearctic
134702594;Corydoras ornatus;ACTINOPTERYGII;SILURIFORMES;Neotropic
16012;Favonigobius reichei;ACTINOPTERYGII;GOBIIFORMES;Afrotropic
135929103;Hyphessobrycon peugeoti;ACTINOPTERYGII;CHARACIFORMES;Neotropic
135928387;Hyphessobrycon eilyos;ACTINOPTERYGII;CHARACIFORMES;Neotropic
14894;Notropis saladonis;ACTINOPTERYGII;CYPRINIFORMES;Nearctic
172375;Rita gogra;ACTINOPTERYGII;SILURIFORMES;Indo-Malay
191302;Cyprinodon bobmilleri;ACTINOPTERYGII;CYPRINODONTIFORMES;Nearctic
180750;Osteochilus vittatus;ACTINOPTERYGII;CYPRINIFORMES;Indo-Malay
176509627;Cnesterodon pirai;ACTINOPTERYGII;CYPRINODONTIFORMES;Neotropic
136931648;Krobia xinguensis;ACTINOPTERYGII;PERCIFORMES;Neotropic
202690;Noturus gladiator;ACTINOPTERYGII;SILURIFORMES;Nearctic
176728040;Guyanancistrus brownsbergensis;ACTINOPTERYGII;SILURIFORMES;Neotropic
61015;Mylochromis labidodon;ACTINOPTERYGII;PERCIFORMES;Afrotropic
64791019;Andinoacara pulcher;ACTINOPTERYGII;PERCIFORMES;Neotropic
176168288;Pimelodella geryi;ACTINOPTERYGII;SILURIFORMES;Neotropic
186379;Parotocinclus spilurus;ACTINOPTERYGII;SILURIFORMES;Neotropic
63341;Orthochromis machadoi;ACTINOPTERYGII;PERCIFORMES;Afrotropic
187062;Parotocinclus prata;ACTINOPTERYGII;SILURIFORMES;Neotropic
187253;Phalloceros alessandrae;ACTINOPTERYGII;CYPRINODONTIFORMES;Neotropic
98893194;Anchoviella juruasanga;ACTINOPTERYGII;CLUPEIFORMES;Neotropic
169528;Akysis hendricksoni;ACTINOPTERYGII;SILURIFORMES;Indo-Malay
180836;Mystus singaringan;ACTINOPTERYGII;SILURIFORMES;Indo-Malay
182539;Rhabdalestes rhodesiensis;ACTINOPTERYGII;CHARACIFORMES;Afrotropic
169409;Mastacembelus traversi;ACTINOPTERYGII;SYNBRANCHIFORMES;Afrotropic
135615;Gobio kovatschevi;ACTINOPTERYGII;CYPRINIFORMES;Palearctic
181586;Marcusenius moorii;ACTINOPTERYGII;OSTEOGLOSSIFORMES;Afrotropic
6135;Cyprinella callitaenia;ACTINOPTERYGII;CYPRINIFORMES;Nearctic
49830414;Creagrutus holmi;ACTINOPTERYGII;CHARACIFORMES;Neotropic
1866;Aplochiton marinus;ACTINOPTERYGII;OSMERIFORMES;Neotropic
61285;Aplocheilichthys omoculatus;ACTINOPTERYGII;CYPRINODONTIFORMES;Afrotropic
202106;Gila nigra;ACTINOPTERYGII;CYPRINIFORMES;Nearctic
176106989;Apistogramma psammophila;ACTINOPTERYGII;PERCIFORMES;Neotropic
125979833;Poecilia hispaniolana;ACTINOPTERYGII;CYPRINODONTIFORMES;Neotropic
134661498;Apareiodon argenteus;ACTINOPTERYGII;CHARACIFORMES;Neotropic
61215;Haplochromis katavi;ACTINOPTERYGII;PERCIFORMES;Afrotropic
191210;Dorosoma cepedianum;ACTINOPTERYGII;CLUPEIFORMES;Nearctic
187966;Hemimyzon pengi;ACTINOPTERYGII;CYPRINIFORMES;Indo-Malay
176143946;Hypomasticus despaxi;ACTINOPTERYGII;CHARACIFORMES;Neotropic
159636240;Procottus major;ACTINOPTERYGII;SCORPAENIFORMES;Palearctic
61302;Synodontis zanzibaricus;ACTINOPTERYGII;SILURIFORMES;Afrotropic
181065;Glyptothorax rugimentum;ACTINOPTERYGII;SILURIFORMES;Indo-Malay
180566;Aplocheilus dayi;ACTINOPTERYGII;CYPRINODONTIFORMES;Indo-Malay
182484;Hemistichodus lootensi;ACTINOPTERYGII;CHARACIFORMES;Afrotropic
166109;Chanodichthys dabryi;ACTINOPTERYGII;CYPRINIFORMES;Indo-Malay
196436;Siganus vermiculatus;ACTINOPTERYGII;PERCIFORMES;Australasia
